MSN,YYYYMM,Value,Column_Order,Description,Unit
NGRCSUS,199706,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199706,5.64,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199706,61.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199706,3.19,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199706,17.5,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199706,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199706,2.52,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199706,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199707,2,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199707,3.44,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199707,8.78,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199707,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199707,5.35,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199707,59.4,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199707,3.11,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199707,17.6,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199707,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199707,2.44,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199707,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199708,2.08,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199708,3.34,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199708,8.99,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199708,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199708,5.43,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199708,57.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199708,3,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199708,17.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199708,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199708,2.53,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199708,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199709,2.33,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199709,3.5,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199709,8.84,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199709,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199709,5.58,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199709,59.4,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199709,3.32,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199709,17.4,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199709,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199709,2.96,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199709,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199710,2.68,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199710,3.86,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199710,7.69,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199710,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199710,5.74,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199710,62.8,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199710,3.69,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199710,17.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199710,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199710,3.24,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199710,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199711,2.92,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199711,4.76,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199711,6.86,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199711,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199711,5.86,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199711,70.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199711,4.02,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199711,17.6,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199711,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199711,3.41,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199711,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199712,2.28,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199712,3.42,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199712,6.54,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199712,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199712,5.72,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199712,72.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199712,3.74,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199712,17.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199712,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199712,2.77,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199712,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199713,2.32,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199713,3.66,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199713,6.94,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199713,98.8,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199713,5.8,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199713,70.8,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199713,3.59,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199713,18.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199713,4.44,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199713,2.78,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199713,68,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199801,1.96,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199801,3.08,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199801,6.41,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199801,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199801,5.65,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199801,73.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199801,3.67,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199801,16.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199801,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199801,2.64,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199801,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199802,1.96,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199802,3.08,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199802,6.41,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199802,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199802,5.59,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199802,72.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199802,3.58,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199802,16.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199802,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199802,2.51,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199802,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199803,2.06,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199803,3.06,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199803,6.29,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199803,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199803,5.4,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199803,73.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199803,3.4,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199803,17.3,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199803,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199803,2.53,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199803,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199804,2.16,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199804,3.23,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199804,6.81,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199804,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199804,5.64,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199804,67.7,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199804,3.28,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199804,15.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199804,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199804,2.59,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199804,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199805,2.04,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199805,3.12,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199805,7.7,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199805,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199805,5.73,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199805,62.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199805,3.14,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199805,14.9,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199805,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199805,2.47,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199805,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199806,1.91,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199806,2.98,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199806,8.51,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199806,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199806,5.51,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199806,62.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199806,2.97,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199806,15.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199806,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199806,2.4,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199806,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199807,2.09,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199807,3.31,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199807,8.53,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199807,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199807,5.64,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199807,56,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199807,3.04,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199807,13.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199807,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199807,2.5,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199807,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199808,1.82,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199808,3.01,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199808,9.25,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199808,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199808,5.46,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199808,53.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199808,2.75,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199808,13.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199808,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199808,2.21,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199808,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199809,1.7,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199809,2.78,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199809,8.96,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199809,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199809,5.49,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199809,57,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199809,2.65,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199809,14.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199809,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199809,2.15,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199809,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199810,1.86,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199810,2.99,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199810,7.6,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199810,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199810,5.31,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199810,59.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199810,2.75,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199810,14.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199810,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199810,2.22,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199810,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199811,1.94,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199811,2.99,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199811,6.58,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199811,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199811,5.22,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199811,64.5,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199811,2.95,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199811,15.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199811,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199811,2.37,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199811,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199812,1.95,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199812,3.1,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199812,6.34,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199812,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199812,5.23,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199812,68.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199812,2.92,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199812,17.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199812,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199812,2.22,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199812,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199813,1.96,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199813,3.07,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199813,6.82,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199813,97.7,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199813,5.48,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199813,67,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199813,3.14,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199813,16.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199813,4.59,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199813,2.4,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199813,63.7,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199901,1.85,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199901,2.85,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199901,6,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199901,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199901,5.19,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199901,73.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199901,3.29,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199901,16.9,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199901,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199901,2.32,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199901,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199902,1.77,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199902,2.92,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199902,6.29,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199902,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199902,5.28,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199902,69.7,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199902,2.92,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199902,16.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199902,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199902,2.26,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199902,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199903,1.7,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199903,2.77,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199903,6.06,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199903,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199903,4.97,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199903,69.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199903,2.96,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199903,17.4,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199903,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199903,2.15,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199903,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199904,1.9,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199904,2.88,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199904,6.44,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199904,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199904,5.31,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199904,65.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199904,3,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
